ftrt,ctrt,time,wbio,cbio,pbic,amac,edta,unavp,porg,ptot,caco3,inorgcarbon,sph2,amm,nit,pmn,pmc,rate2,seed2
CNTL ,FLW,2,0.5,.,25.157,51.329,136.061,59.574,213.714,349.775,,,,2.136,6.515,11.745,70.641,,
CNTL ,FLW,2,0.98,.,22.855,50.751,132.045,58.440,172.030,304.075,,,,4.305,31.899,20.515,83.281,,
CNTL ,FO,1,2.84,17.93,11.481,52.617,302.335,238.236,95.615,397.95,2.237572042,0.268508645,8,6.372,48.757,124.727,182.250,4,5
CNTL ,FO,1,3.81,37.76,15.049,48.032,299.562,236.481,117.438,417,2.744835625,0.329380275,8.01,2.186,22.577,11.096,64.621,4,8
CNTL ,FO,1,3.81,20.72,9.381,47.865,289.202,231.956,147.348,436.55,4.590411639,0.550849397,8.16,2.849,4.018,12.664,243.089,2,10
CNTL ,FO,1,4.83,44.39,5.714,53.155,283.074,224.205,117.976,401.05,0.629438556,0.075532627,8.15,7.866,4.554,14.507,154.836,1,10
CNTL ,FO,2,1.26,39.04,22.664,53.340,190.193,114.188,166.282,356.475,,,,4.284,140.157,14.848,73.647,,
CNTL ,FO,2,2.02,13.19,27.269,54.762,197.496,115.464,129.629,327.125,,,,2.048,14.886,12.631,90.574,,
CNTL ,FO,2,3.7,54.28,21.320,49.938,195.852,124.594,147.473,343.325,,,,2.972,50.639,8.713,134.886,,
CNTL ,FO,2,3.52,60.53,21.862,50.676,164.269,91.731,167.856,332.125,,,,4.155,43.867,12.830,81.010,,
CNTL ,O,1,0.69,16.79,11.016,70.852,156.177,74.310,179.673,335.85,1.384937509,0.166192501,8.21,3.560,17.039,5.396,100.961,3,3
CNTL ,O,1,3.28,17.92,10.060,72.862,283.755,200.833,93.195,376.95,5.637317331,0.67647808,8.41,9.945,11.839,5.578,69.585,4,3
CNTL ,O,1,2.91,29.05,11.522,70.904,317.802,235.376,54.048,371.85,3.770155633,0.452418676,8.16,.,.,6.598,70.592,2,5
CNTL ,O,1,1.55,15.18,8.849,65.473,300.486,226.165,195.164,495.65,3.424784683,0.410974162,8.16,2.546,38.829,21.512,140.734,2,6
CNTL ,O,2,0.49,11.04,21.244,48.455,157.313,87.614,142.662,299.975,,,,2.544,6.371,19.912,44.389,,
CNTL ,O,2,0.81,0,23.304,53.887,165.755,88.564,200.770,366.525,,,,1.422,11.502,24.013,81.874,,
CNTL ,O,2,2.8,1.63,22.905,54.152,196.938,119.880,196.737,393.675,,,,2.645,8.789,9.282,102.947,,
CNTL ,O,2,2.57,0.5,24.610,51.736,145.660,69.313,225.265,370.925,,,,1.967,15.147,7.507,94.060,,
CNTL ,R,1,0.36,18.08,16.191,70.736,111.965,25.038,286.385,398.35,4.363761953,0.523651434,8.08,1.965,53.996,11.777,64.262,4,4
CNTL ,R,1,0.71,25.41,10.883,52.058,166.926,103.985,212.774,379.7,5.162432275,0.619491873,8.08,2.445,25.766,4.419,29.043,2,8
CNTL ,R,1,4.51,22.38,12.335,59.964,221.790,149.491,221.310,443.1,5.92872407,0.711446888,8.04,2.509,75.337,6.605,126.591,3,5
CNTL ,R,1,0.95,25.06,11.169,57.355,136.576,68.052,250.124,386.7,5.982688281,0.717922594,7.97,2.717,18.431,20.140,137.196,2,6
CNTL ,R,2,1.87,19.48,21.580,46.481,119.592,51.531,190.683,310.275,,,,2.067,15.190,4.803,97.252,,
CNTL ,R,2,4.32,25.26,19.602,45.654,121.569,56.313,142.906,264.475,,,,2.521,5.048,17.039,87.912,,
CNTL ,R,2,3.2,19.56,23.954,46.043,165.096,95.099,167.429,332.525,,,,2.761,29.043,5.466,33.703,,
CNTL ,R,2,3.98,26.59,22.370,47.465,157.894,88.058,156.531,314.425,,,,3.756,16.085,16.605,44.205,,
CNTL ,RO,1,1.08,12.6,20.955,71.501,176.751,84.295,266.999,443.75,5.022125326,0.602655039,8.05,3.219,11.479,40.743,155.873,2,5
CNTL ,RO,1,3.16,10.21,14.957,60.695,220.817,145.165,86.283,307.1,5.227189328,0.627262719,8.13,4.703,4.475,14.620,185.429,3,4
CNTL ,RO,1,0.75,17,17.079,59.214,172.811,96.519,199.689,372.5,5.378289119,0.645394694,8.09,1.567,21.508,2.777,32.008,3,8
CNTL ,RO,1,0.81,7.95,15.031,62.081,170.185,93.072,244.915,415.1,1.320180456,0.158421655,7.95,3.388,21.774,4.868,32.637,2,7
CNTL ,RO,2,1.22,15.68,21.876,51.844,136.683,62.963,227.542,364.225,,,,1.250,36.181,37.992,127.356,,
CNTL ,RO,2,1.36,10.16,22.451,52.204,135.018,60.363,190.257,325.275,,,,5.208,20.633,17.071,82.069,,
CNTL ,RO,2,2.05,12.4,22.672,48.904,148.323,76.747,156.952,305.275,,,,1.690,17.576,22.138,67.722,,
CNTL ,RO,2,2.5,8.53,21.495,50.341,127.170,55.334,180.105,307.275,,,,2.488,18.441,10.326,33.916,,
IFERT ,ALL ,1,2.63,34.56,18.945,60.886,139.835,60.003,283.965,423.8,5.216396486,0.625967578,7.76,2.389,13.059,5.350,98.703,1,7
IFERT ,ALL ,1,1.99,30.25,10.919,68.964,125.243,45.361,259.307,384.55,5.540181751,0.66482181,8.01,3.684,7.149,9.184,431.377,2,7
IFERT ,ALL ,1,1.94,35.41,14.395,55.908,112.208,41.905,297.542,409.75,5.723660069,0.686839208,8,1.525,37.431,5.894,144.143,1,10
IFERT ,ALL ,1,1.54,35.05,10.786,66.369,114.300,37.145,282.450,396.75,4.471690375,0.536602845,7.95,3.358,41.795,41.104,115.594,2,5
IFERT ,ALL ,2,1.72,48.44,21.857,52.156,126.223,52.210,194.052,320.275,,,,4.008,47.532,17.941,95.722,,
IFERT ,ALL ,2,2.8,28.04,22.454,48.952,118.249,46.842,215.376,333.625,,,,5.428,27.279,20.663,113.710,,
IFERT ,ALL ,2,4.28,27.52,21.840,48.678,108.673,38.156,212.002,320.675,,,,5.520,14.143,20.016,73.599,,
IFERT ,ALL ,2,1.62,30.56,26.472,55.482,139.358,57.404,197.617,336.975,,,,6.491,25.276,11.060,260.861,,
IFERT ,B,1,3.7,36.92,13.525,62.432,129.183,53.226,292.317,421.5,4.558033112,0.546963973,8.17,2.018,8.349,7.667,116.388,4,6
IFERT ,B,1,3.46,40.68,7.580,58.140,157.198,91.479,224.252,381.45,5.270360697,0.632443284,8.31,2.448,12.741,0.594,213.634,3,5
IFERT ,B,1,0.71,30.04,18.830,87.143,149.757,43.783,289.693,439.45,5.345910592,0.641509271,8.17,2.403,13.584,4.229,81.992,2,5
IFERT ,B,1,3.71,31.22,12.578,62.855,183.268,107.835,214.282,397.55,3.802534159,0.456304099,8.16,4.636,12.348,0.536,217.637,4,4
IFERT ,B,2,2.46,13.3,24.262,50.681,140.744,65.801,195.281,336.025,,,,2.526,15.971,10.431,66.687,,
IFERT ,B,2,3.02,19.92,22.697,52.628,139.829,64.504,212.946,352.775,,,,2.009,10.629,12.716,72.345,,
IFERT ,B,2,3.63,17.24,22.725,49.313,126.338,54.299,233.387,359.725,,,,3.248,10.366,9.983,33.536,,
IFERT ,B,2,2.38,11.12,24.535,50.539,150.892,75.817,193.133,344.025,,,,2.055,15.690,12.413,108.646,,
IFERT ,BO,1,2.3,30.17,8.920,72.833,241.245,159.493,133.655,374.9,0.996395191,0.119567423,8.14,3.619,3.158,8.738,80.567,3,8
IFERT ,BO,1,1.26,22.63,14.630,68.537,243.726,160.559,173.724,417.45,0.985602349,0.118272282,7.99,0.780,41.171,8.352,171.365,2,9
IFERT ,BO,1,0.81,41.55,14.354,72.019,240.126,153.753,168.024,408.15,1.104323613,0.132518834,8.03,1.684,26.275,17.005,79.293,4,8
IFERT ,BO,1,0.64,35.85,13.342,68.051,206.955,125.562,91.345,298.3,1.352558983,0.162307078,8.13,3.968,9.647,8.887,390.685,1,10
IFERT ,BO,2,1.45,12.6,21.929,52.191,140.725,66.606,192.950,333.675,,,,6.488,25.141,7.350,92.023,,
IFERT ,BO,2,2.95,23.79,22.836,51.784,145.203,70.582,211.872,357.075,,,,3.690,15.907,12.523,61.267,,
IFERT ,BO,2,1.29,22.59,22.318,51.783,149.881,75.780,196.994,346.875,,,,0.578,28.219,31.857,139.502,,
IFERT ,BO,2,2.5,22.26,22.027,53.586,163.310,87.696,175.715,339.025,,,,1.928,42.019,10.828,105.222,,
IFERT ,F,1,0.34,18.49,12.414,77.071,189.397,99.912,224.103,413.5,3.327649103,0.399317892,7.99,3.941,33.779,3.322,96.051,4,4
IFERT ,F,1,0.5,15.2,15.442,78.657,226.167,132.068,181.533,407.7,1.050359402,0.126043128,8.14,5.715,25.540,4.517,107.293,1,10
IFERT ,F,1,5.08,15.41,15.899,75.857,175.973,84.217,276.127,452.1,5.076089537,0.609130744,8.08,2.153,5.090,11.520,183.263,1,8
IFERT ,F,1,2.73,36.09,13.718,79.066,149.125,56.341,264.875,414,4.147905109,0.497748613,8.03,1.884,18.649,3.348,75.889,2,6
IFERT ,F,2,0.93,49.94,30.358,52.266,148.038,65.414,185.487,333.525,,,,4.830,75.297,30.264,169.823,,
IFERT ,F,2,1.63,55.91,25.389,51.851,148.747,71.506,205.678,354.425,,,,3.517,31.239,12.154,54.131,,
IFERT ,F,2,2.57,0,49.340,63.862,149.128,35.926,228.897,378.025,,,,4.156,32.362,19.976,171.765,,
IFERT ,F,2,0.5,13.66,35.982,57.020,152.406,59.404,234.169,386.575,,,,4.523,28.962,33.648,112.265,,
IFERT ,FLW,1,0.54,.,-6.254,84.013,318.482,240.723,2.118,320.6,1.827444039,0.219293285,8.14,3.312,28.838,3.205,62.413,2,7
IFERT ,FLW,1,0.29,.,18.874,34.138,196.255,143.244,204.745,401,0.586267188,0.070352063,8.23,1.395,39.895,1.221,86.451,2,8
IFERT ,FLW,1,0.36,.,30.673,65.482,174.465,78.309,138.335,312.8,.,.,8.22,1.751,29.905,4.173,47.169,2,5
IFERT ,FLW,1,1.18,.,-1.254,33.439,253.696,221.512,146.354,400.05,0.704988452,0.084598614,8.25,2.342,14.724,3.882,84.191,2,4
IFERT ,FLW,2,2.34,.,28.056,52.231,148.518,68.231,222.857,371.375,,,,1.946,9.328,1.958,106.055,,
IFERT ,FLW,2,1.85,.,28.401,56.336,118.163,33.426,263.312,381.475,,,,2.224,9.716,21.309,97.004,,
IFERT ,FLW,2,1.21,.,26.352,52.937,129.539,50.250,230.686,360.225,,,,2.339,25.027,8.712,84.603,,
IFERT ,FLW,2,1.02,.,27.485,49.580,216.694,139.629,135.831,352.525,,,,2.840,6.885,20.012,185.406,,
IFERT ,FO,1,1.36,8.47,15.106,60.366,264.883,189.411,136.867,401.75,5.011332484,0.601359898,8.07,2.134,22.513,9.453,80.078,2,12
IFERT ,FO,1,0.64,24.2,14.789,37.208,277.140,225.144,141.310,418.45,1.148574266,0.137828912,8.15,2.951,26.416,38.871,100.081,2,7
IFERT ,FO,1,3.02,19.99,11.706,36.992,259.728,211.030,68.972,328.7,0.694195609,0.083303473,8.07,2.493,72.253,11.787,70.395,4,6
IFERT ,FO,1,0.57,36.03,13.321,40.004,291.342,238.017,91.958,383.3,0.877673927,0.105320871,8.02,3.031,47.734,54.159,111.128,2,8
IFERT ,FO,2,3.37,46.36,22.799,49.545,174.457,102.113,156.018,330.475,,,,6.641,51.054,11.580,91.993,,
IFERT ,FO,2,1.57,50.17,24.710,53.375,168.079,89.994,156.896,324.975,,,,2.686,42.807,4.688,175.515,,
IFERT ,FO,2,2.06,0.14,31.614,56.832,155.607,67.161,181.968,337.575,,,,11.902,58.193,26.378,310.448,,
IFERT ,FO,2,1.77,61.16,22.673,50.213,163.734,90.847,175.591,339.325,,,,2.724,56.498,13.180,107.904,,
IFERT ,O,1,1.61,17.54,13.652,63.969,199.465,121.844,105.285,304.75,4.946575431,0.593589052,8.08,1.565,23.228,6.696,69.669,1,8
IFERT ,O,1,3.73,20.04,8.066,77.719,209.582,123.797,119.268,328.85,5.410667645,0.649280117,8.2,2.869,15.181,49.587,234.694,2,5
