ftrt,ctrt,time,wbio,cbio,pbic,amac,edta,unavp,porg,ptot,caco3,inorgcarbon,sph2,amm,nit,pmn,pmc,rate2,seed2
CNTL ,R,1,0.36,18.08,16.19123623,70.73587029,111.9649805,25.03787398,286.3850195,398.35,4.363761953,0.523651434,8.08,1.964583333,53.99645753,11.77740519,64.26174889,4,4
CNTL ,R,1,0.71,25.41,10.88276973,52.05816381,166.92607,103.9851365,212.77393,379.7,5.162432275,0.619491873,8.08,2.44478022,25.76598725,4.419329198,29.04316142,2,8
CNTL ,R,1,4.51,22.38,12.33471247,59.964,221.7898833,149.4911708,221.3101167,443.1,5.92872407,0.711446888,8.04,2.508873929,75.33706918,6.605234724,126.5914537,3,5
CNTL ,R,1,0.95,25.06,11.1690683,57.35487788,136.5758755,68.05192932,250.1241245,386.7,5.982688281,0.717922594,7.97,2.717085427,18.43074404,20.13974642,137.1962039,2,6
CNTL ,R,2,1.87,19.48,21.58024691,46.48071625,119.5920607,51.53109754,190.6829393,310.275,,,,2.066701681,15.19036157,4.80260623,97.25202014,,
CNTL ,R,2,4.32,25.26,19.60243974,45.65405134,121.5690646,56.31257352,142.9059354,264.475,,,,2.520759193,5.047584109,17.03873827,87.91229852,,
CNTL ,R,2,3.2,19.56,23.9539775,46.04327735,165.0964968,95.09924195,167.4285032,332.525,,,,2.761150235,29.04316296,5.465952718,33.70304363,,
CNTL ,R,2,3.98,26.59,22.37041936,47.46463553,157.8935333,88.05847841,156.5314667,314.425,,,,3.755694761,16.08540899,16.60480381,44.20495194,,
CNTL ,RO,1,1.08,12.6,20.95541273,71.50086994,176.7509728,84.29469013,266.9990272,443.75,5.022125326,0.602655039,8.05,3.219321149,11.47917455,40.74269083,155.8733404,2,5
CNTL ,RO,1,3.16,10.21,14.95741186,60.69475037,220.8171206,145.1649584,86.28287938,307.1,5.227189328,0.627262719,8.13,4.702875399,4.47541335,14.61994915,185.4294407,3,4
CNTL ,RO,1,0.75,17,17.07908875,59.21363217,172.811284,96.51856308,199.688716,372.5,5.378289119,0.645394694,8.09,1.566703418,21.50786582,2.776627336,32.00827072,3,8
CNTL ,RO,1,0.81,7.95,15.03143441,62.08137548,170.1848249,93.07201501,244.9151751,415.1,1.320180456,0.158421655,7.95,3.388136511,21.77388287,4.868114928,32.6368143,2,7
CNTL ,RO,2,1.22,15.68,21.87562226,51.84381387,136.6825208,62.96308467,227.5424792,364.225,,,,1.25,36.18124117,37.99235329,127.3563818,,
CNTL ,RO,2,1.36,10.16,22.45061728,52.20385675,135.0178359,60.36336187,190.2571641,325.275,,,,5.208333333,20.63266654,17.07062008,82.06909844,,
CNTL ,RO,2,2.05,12.4,22.67211768,48.9036257,148.3229291,76.74718572,156.9520709,305.275,,,,1.689814815,17.5762989,22.13845111,67.72179064,,
CNTL ,RO,2,2.5,8.53,21.49470899,50.34107307,127.1700357,55.33425364,180.1049643,307.275,,,,2.487549801,18.4407452,10.32601247,33.91590719,,
IFERT ,ALL ,1,2.63,34.56,18.94514192,60.8860206,139.8346304,60.00346788,283.9653696,423.8,5.216396486,0.625967578,7.76,2.389348786,13.05902575,5.349729287,98.70297077,1,7
IFERT ,ALL ,1,1.99,30.25,10.91855706,68.96350956,125.2431907,45.36112408,259.3068093,384.55,5.540181751,0.66482181,8.01,3.684382423,7.149237357,9.184115135,431.3767511,2,7
IFERT ,ALL ,1,1.94,35.41,14.39503967,55.90809024,112.2081712,41.90504129,297.5418288,409.75,5.723660069,0.686839208,8,1.525428571,37.43129915,5.894097222,144.1429591,1,10
IFERT ,ALL ,1,1.54,35.05,10.78563272,66.36910054,114.2996109,37.14487764,282.4503891,396.75,4.471690375,0.536602845,7.95,3.358043217,41.79458774,41.10399652,115.5935579,2,5
IFERT ,ALL ,2,1.72,48.44,21.8569544,52.15623056,126.2233605,52.21017554,194.0516395,320.275,,,,4.007614213,47.53173724,17.94062017,95.72186751,,
IFERT ,ALL ,2,2.8,28.04,22.45432597,48.95222385,118.2486509,46.84210108,215.3763491,333.625,,,,5.42787944,27.27855659,20.66321927,113.709786,,
IFERT ,ALL ,2,4.28,27.52,21.83950617,48.67768595,108.6732827,38.15609058,212.0017173,320.675,,,,5.52045728,14.14290441,20.01572063,73.59872122,,
IFERT ,ALL ,2,1.62,30.56,26.47222222,55.48209366,139.3579073,57.40359142,197.6170927,336.975,,,,6.49122807,25.27563893,11.06000719,260.8611391,,
IFERT ,B,1,3.7,36.92,13.52508034,62.43168726,129.1828794,53.2261118,292.3171206,421.5,4.558033112,0.546963973,8.17,2.017655367,8.349359267,7.667098587,116.3875018,4,6
